s_id,direction,lane,lat,long,month,dailytraffic
179,1,1,60.521655,151.206305,1,145291
101662,5,1,34.63051,112.377125,1,345207
700040,1,2,33.17694,92.63472,1,47347
179,5,1,31.5797,84.85,1,141637
179,5,1,34.774272,83.075817,1,141637
179,5,1,44.210317,95.75485,1,141637
32,5,1,43.41422,110.7727,1,284810
179,5,1,60.521655,151.206305,1,141637
101662,1,2,34.63051,112.377125,1,203438
700040,5,1,33.17694,92.63472,1,85690
180,1,1,31.3431,83.59119,1,136506
101662,1,1,34.63051,112.377125,1,306559
180,1,1,32.450915,86.211772,1,136506
32,5,1,42.345417,71.26251,1,284810
101643,5,2,32.91369,111.757055,1,174497
180,1,1,34.774272,83.075817,1,136506
700040,5,2,33.17694,92.63472,1,46104
101643,5,1,32.91369,111.757055,1,163865
180,1,1,40.89246,73.88471,1,136506
179,1,1,34.774272,83.075817,1,145291
101643,1,2,32.91369,111.757055,1,179465
179,1,1,31.5797,84.85,1,145291
101662,5,2,34.63051,112.377125,1,161772
32,5,2,33.881531,78.601617,1,290951
101777,7,1,35.187788,111.678756,1,198756
177,1,4,32.367539,86.316454,1,199216
650284,5,2,35.36963,94.36447,1,179373
101777,3,1,35.187788,111.678756,1,204637
101763,5,2,31.38066,110.943802,1,131891
101763,5,1,31.38066,110.943802,1,180673
32,5,2,30.283723,87.686463,1,290951
177,5,1,32.367539,86.316454,1,195131
101763,1,2,31.38066,110.943802,1,187845
670027,1,1,35.959352,91.539125,1,12765
177,5,1,42.756044,114.70397,1,195131
101763,1,1,31.38066,110.943802,1,118121
177,5,2,32.367539,86.316454,1,597526
32,5,1,47.510309,111.264201,1,284810
177,5,3,32.367539,86.316454,1,311447
670027,5,1,35.959352,91.539125,1,23176
101702,7,1,39.739798,103.729037,1,12626
177,5,4,32.367539,86.316454,1,411668
32,5,1,44.295669,111.457499,1,284810
101702,3,1,39.739798,103.729037,1,11698
700040,1,1,33.17694,92.63472,1,57147
101602,1,1,33.63612,112.4182,1,416848
32,5,1,33.881531,78.601617,1,284810
180,1,1,45.456682,98.329343,1,136506
32,1,3,33.881531,78.601617,1,179751
180,5,1,31.3431,83.59119,1,154752
700113,7,1,28.35674,80.707,1,137669
101611,1,1,33.75041,112.295425,1,87335
180,5,1,32.450915,86.211772,1,154752
101602,5,4,33.63612,112.4182,1,135653
180,5,1,34.774272,83.075817,1,154752
32,1,3,30.283723,87.686463,1,179751
101602,5,3,33.63612,112.4182,1,288500
101602,5,2,33.63612,112.4182,1,378131
700113,7,2,28.35674,80.707,1,687652
180,5,1,40.89246,73.88471,1,154752
101602,5,1,33.63612,112.4182,1,163961
180,5,1,45.456682,98.329343,1,154752
32,1,2,44.15416,92.533333,1,219937
101602,1,4,33.63612,112.4182,1,124978
180,5,1,60.501576,149.422021,1,154752
101602,1,3,33.63612,112.4182,1,236641
700113,7,3,28.35674,80.707,1,620477
180,5,2,32.450915,86.211772,1,190326
101602,1,2,33.63612,112.4182,1,197968
101611,1,2,33.75041,112.295425,1,190248
101643,1,1,32.91369,111.757055,1,177631
180,1,3,40.89246,73.88471,1,109895
101611,5,1,33.75041,112.295425,1,89163
700113,3,1,28.35674,80.707,1,553594
101637,5,1,34.820316,110.19571,1,31901
180,1,1,60.501576,149.422021,1,136506
101637,1,1,34.820316,110.19571,1,26619
32,5,1,30.283723,87.686463,1,284810
180,1,2,31.3431,83.59119,1,218654
101617,5,2,33.03247,112.0477,1,64422
180,1,2,32.450915,86.211772,1,218654
700113,3,2,28.35674,80.707,1,427111
101617,5,1,33.03247,112.0477,1,147980
101617,1,2,33.03247,112.0477,1,87308
32,1,3,43.41422,110.7727,1,179751
180,1,2,34.774272,83.075817,1,218654
101617,1,1,33.03247,112.0477,1,128650
180,1,2,40.89246,73.88471,1,218654
101611,5,3,33.75041,112.295425,1,123693
180,1,3,32.450915,86.211772,1,109895
101611,5,2,33.75041,112.295425,1,236629
32,1,3,42.345417,71.26251,1,179751
700113,3,3,28.35674,80.707,1,355889
180,1,3,34.774272,83.075817,1,109895
101611,1,3,33.75041,112.295425,1,156025
208,3,0,40.255883,109.026818,1,23004
101898,3,2,33.371938,111.482852,1,305005
158,5,5,33.558282,86.830315,1,283220
148,1,1,33.04224,84.94972,1,375884
102288,5,2,32.495072,114.636187,1,19483
570122,7,2,30.75492,86.61436,1,84956
148,1,1,33.424235,86.747597,1,375884
102288,5,1,32.495072,114.636187,1,52297
148,1,1,34.980958,80.978358,1,375884
570167,3,1,30.41028,86.79598,1,562906
102288,1,2,32.495072,114.636187,1,22609
148,1,1,46.960706,116.930856,1,375884
102313,1,1,34.422704,112.251503,1,158602
102288,1,1,32.495072,114.636187,1,56349
102287,7,1,36.814863,109.890247,1,34854
41,3,2,31.222158,85.432246,1,226020
148,1,2,33.424235,86.747597,1,470191
570167,3,2,30.41028,86.79598,1,562665
102287,3,1,36.814863,109.890247,1,35067
148,1,2,34.980958,80.978358,1,470191
102255,5,1,36.995992,112.530322,1,56157
148,1,3,33.424235,86.747597,1,509516
41,3,1,31.222158,85.432246,1,249503
148,1,2,33.04224,84.94972,1,470191
570122,7,1,30.75492,86.61436,1,135713
146,5,4,33.380724,86.814663,1,295821
146,5,3,33.380724,86.814663,1,443807
146,1,2,46.716519,117.00295,1,303724
560093,5,2,35.356717,90.497,1,33448
146,1,3,33.380724,86.814663,1,440863
41,7,2,31.222158,85.432246,1,238009
102333,3,0,38.232627,104.319144,1,77097
146,1,4,33.380724,86.814663,1,268234
146,5,1,33.380724,86.814663,1,277202
102324,7,0,38.276997,104.562228,1,119332
146,5,1,34.1748,79.041467,1,277202
41,7,1,31.222158,85.432246,1,222815
102324,3,0,38.276997,104.562228,1,121645
146,5,1,46.716519,117.00295,1,277202
